Category,Access_No,Title,Authors,Asset_Code,Department,Subject,Edition,Date_Year,Call_No,Publisher,Place,ISBN,Price,Bill_Date,Vendor,Pages
Books,830,Statistics For Behavioural And Social Sciences,"Mohanty, Banamali.",RVUN22LB0234,School of Liberal Arts and Sciences,Psychology,1st Ed,2015,150.15195,Sage,,9.78935E+12,775,04/25/2022 0:00,Sri Book World,895
Books,301,Visual Dictionary,Others,RVUN21LB0301,School of Design and Innovations,Dictionary,,2011,423.17,Dorling Kindersley,,9.78076E+12,2434.95,01/17/2022 0:00,Page - 3,672
Books,475,Ca-380-Illustration Annual - 52 Communication Arts,Others,RVUN21LB0595,School of Design and Innovations,Other,,2011,659.1,Other,,380,521.25,03/28/2022 0:00,,
Books,596,"Ca 377-Advertising Annual-51, Communication Arts",Others,RVUN21LB0716,School of Design and Innovations,Other,,2010,659.1,Comm Arts,,,553.5,03/28/2022 0:00,Page - 3,
Books,488,Designer'S Guide To Color Vol.2,Others,RVUN21LB0608,School of Design and Innovations,Color,,2007,701.8,Chronicle Books,,978-0811057284,521.25,03/28/2022 0:00,,
Books,489,Designer'S Guide To Color Vol.3,Others,RVUN21LB0609,School of Design and Innovations,Color,,2007,701.8,Chronicle Books,,978-0811057002,521.25,03/28/2022 0:00,,
Books,487,Designer'S Guide To Color Vol.1,Others,RVUN21LB0607,School of Design and Innovations,Other,,2007,701.8,Chronicle Books,,978-0811857048,521,03/28/2022 0:00,,
Books,476,"Wired-22,12",Others,RVUN21LB0596,School of Design and Innovations,Other,,2012,741,Wired Inc.,,,543.75,03/28/2022 0:00,Page - 3,
Books,479,"Archive- Vol-01, 2021","Lidwell, William",RVUN21LB0599,School of Design and Innovations,Other,,2021,741,Lurzer GmbH,,,1196.25,03/28/2022 0:00,Page - 3,
Books,344,All About Techniques In Illustration,Others,RVUN21LB0344,School of Design and Innovations,Graphic design,,2001,741.6,Barrons,,978-0764153617,2769.38,10/2/22 0:00,Page - 3,143
Books,474,Ca - 372 Advertising Annual-50 Communicatoion Art,Others,RVUN21LB0594,School of Design and Innovations,Other,,2010,741.6,Comm Arts,,372,521.25,03/28/2022 0:00,Page - 3,
Books,380,Colors 1000 Signs,"Mustienes, Carlos",RVUN21LB0380,School of Design and Innovations,Graphic design,,2009,741.6,Taschen,,978-3836510011,1978.13,10/2/22 0:00,Page - 3,313
Books,427,Brandi: Vol:11,Others,RVUN21LB0547,Other,Industrial art and design,,2013,745.2,BRAND,,,1475.63,,,
Books,360,Color Harmony : Layout,"Marks, Terry",RVUN21LB0360,School of Design and Innovations,Color,,2006,752,Rockport,,978-9812454331,1538.75,01/17/2022 0:00,Page - 3,256
Books,718,Movie Book,Na,RVUN22LB0122,School of Liberal Arts and Sciences,Biography,1,2015,791.4309,Dorling Kindersley,,9.78024E+12,1199,04/18/2022 0:00,Sapna book house,352
Books,550,The Handmaid' Tale,"Atwood, Margaret.",RVUN21LB0670,School of Liberal Arts and Sciences,Fiction,,2017,813.54,Vintage,,978-1784873189,0,03/29/2022 0:00,Book Paradise,324
Books,544,Nelycinda & Other Stories,"Visvanathan, Susan",RVUN21LB0664,School of Liberal Arts and Sciences,English fiction,,2012,823.91,Roli,,978-8186939666,295,03/29/2022 0:00,Book Paradise,224
Books,679,The Archaeology Of Knowledge,"Foucault, Michel",RVUN22LB0083,School of Liberal Arts and Sciences,Philosophy,1,2018,001.2 FOC,Penguin,,9.78039E+12,799,03/17/2022 0:00,SK Publisher and Distributors,256
Books,892,The Oxford Handbook Of Interdisciplinary,"Frodeman, Robert",RVUN22LB0296,School of Liberal Arts and Sciences,Knowledge,,,001.2 FRO,Oxford University Press,,9.7802E+12,1599,03/17/2022 0:00,Amazon,391
Books,930,The Craft Of Research,"Booth, W.C.",RVUN22LB0334,School of Liberal Arts and Sciences,Research methodology,4th Ed,2016,001.42 BOO,The University of Chicago Press,,9.78023E+12,1314.45,03/17/2022 0:00,Amazon,316
Books,931,The Craft Of Research,"Booth, W.C.",RVUN22LB0335,School of Liberal Arts and Sciences,Research methodology,4th Ed,2016,001.42 BOO,The University of Chicago Press,,9.78023E+12,1314.45,03/17/2022 0:00,Amazon,316
Books,927,The Visual Display Of Quantitative Information,"Tufte, Edward R.",RVUN22LB0331,School of Design and Innovations,Presentation of data,2nd Ed,2001,001.4226 TUF,Graphics press,,9.78193E+12,4500,03/17/2022 0:00,Amazon,197
Books,928,The Visual Display Of Quantitative Information,"Tufte, Edward R.",RVUN22LB0332,School of Design and Innovations,Presentation of data,2nd Ed,2001,001.4226 TUF,Graphics press,,9.78193E+12,4500,03/17/2022 0:00,Amazon,197
Books,326,Seeing Is Believing,"Berger, Arthur Asa",RVUN21LB0326,School of Design and Innovations,Communication,,1989,001.553 BER,Mayfield,,978-0874848731,3768.38,10/2/22 0:00,Page - 3,189
Books,422,100 Ideas That Changed The Web,"Boulton, Jim.",RVUN21LB0542,School of Design and Innovations,Interfacing and communications,1st,2014,004.678 BOU,Laurence King,,978-1780673707,0,,,216
Books,328,The Elements Of User Experience,"Garrett, Jesse James.",RVUN21LB0328,School of Design and Innovations,Computer programming,2nd Ed,2010,005.7 GAR,AJSK Publication,,978-0321683687,3164.21,10/2/22 0:00,Page - 3,192
Books,905,The Elements Of User Experience: User-Centered Design For The Web And Beyond,"Garrett, Jesse James",RVUN22LB0309,School of Liberal Arts and Sciences,Data preparation and representation,,2011,005.72 GAR,Newriders,,9.78032E+12,2885,03/17/2022 0:00,Amazon,172
Books,906,The Elements Of User Experience: User-Centered Design For The Web And Beyond,"Garrett, Jesse James",RVUN22LB0310,School of Liberal Arts and Sciences,Data preparation and representation,,2011,005.72 GAR,Newriders,,9.78032E+12,2885,03/17/2022 0:00,Amazon,172
Books,610,Research Methodology In Behavioural Sciences,"Mangal, S K",RVUN22LB0014,School of Liberal Arts and Sciences,Psychology,1,2012,016.30018 MAN,Phi Learning,,9.78812E+12,595,04/17/2022 0:00,SK Publisher and Distributors,740
